                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.56005,                0.39686,                0.84653,                0.97384,                0.96601,                0.99156,                 0.8611,                0.56162,                0.37206,                0.83007,             0.00095736,             0.00095736,             0.00095736
                     88,                0.56469,                 0.4042,                0.85929,                0.96532,                 0.9668,                0.98625,                0.85908,                0.53639,                0.38602,                0.82812,             0.00094911,             0.00094911,             0.00094911
                     89,                0.55624,                0.40173,                0.84628,                0.96666,                 0.9672,                0.98097,                0.85639,                0.55412,                0.41063,                0.83197,             0.00094085,             0.00094085,             0.00094085
                     90,                0.56225,                0.39941,                0.85547,                0.96697,                0.96667,                0.98065,                   0.86,                0.55655,                0.43075,                0.83183,              0.0009326,              0.0009326,              0.0009326
                     91,                0.54316,                0.39088,                0.83542,                 0.9669,                0.96732,                0.97076,                0.82645,                 0.6339,                0.42257,                0.84263,             0.00092435,             0.00092435,             0.00092435
                     92,                0.53201,                0.38154,                0.83089,                0.94488,                0.99344,                0.97986,                0.84055,                 0.5856,                 0.3858,                0.83254,              0.0009161,              0.0009161,              0.0009161
                     93,                0.54188,                 0.3723,                0.84139,                0.95021,                0.99539,                0.98778,                0.83629,                0.62969,                0.38523,                0.84301,             0.00090785,             0.00090785,             0.00090785
                     94,                0.52524,                0.37572,                0.84245,                0.95017,                0.99413,                0.98644,                0.82947,                 0.6701,                0.40607,                 0.8533,              0.0008996,              0.0008996,              0.0008996
                     95,                0.52446,                0.37477,                0.83327,                 0.9775,                 0.9665,                0.98444,                 0.8396,                0.59353,                0.37319,                0.83979,             0.00089134,             0.00089134,             0.00089134
                     96,                0.53981,                 0.3853,                0.85286,                0.96664,                0.96616,                0.97325,                0.83626,                0.57601,                0.39231,                0.84113,             0.00088309,             0.00088309,             0.00088309
                     97,                0.54521,                0.37781,                0.83962,                0.96647,                0.96671,                0.96302,                0.82851,                0.55515,                0.40806,                0.83349,             0.00087484,             0.00087484,             0.00087484
                     98,                0.55328,                0.36778,                0.84165,                0.96648,                0.96678,                0.96259,                0.82081,                0.56049,                0.41561,                 0.8351,             0.00086659,             0.00086659,             0.00086659
                     99,                0.53506,                 0.3669,                 0.8275,                0.96625,                0.96684,                0.96029,                0.81823,                0.56614,                 0.3995,                0.83811,             0.00085834,             0.00085834,             0.00085834
                    100,                0.52068,                0.37053,                0.83523,                0.96615,                0.96747,                0.96422,                0.83877,                0.52428,                0.36825,                0.82608,             0.00085009,             0.00085009,             0.00085009
                    101,                0.52112,                0.35051,                0.83655,                0.96584,                0.96767,                 0.9807,                0.85683,                0.52615,                0.37348,                0.82113,             0.00084184,             0.00084184,             0.00084184
                    102,                 0.5177,                0.36132,                0.83512,                0.97691,                0.96695,                0.98609,                0.87479,                0.50779,                 0.3765,                0.81658,             0.00083358,             0.00083358,             0.00083358
                    103,                0.51457,                0.35512,                0.84171,                0.96982,                0.96636,                0.98976,                0.86682,                0.51362,                0.38241,                0.81805,             0.00082533,             0.00082533,             0.00082533
                    104,                0.52428,                0.35512,                 0.8315,                0.96613,                0.96687,                0.98245,                0.87364,                0.51198,                0.39437,                0.81525,             0.00081708,             0.00081708,             0.00081708
                    105,                0.52992,                 0.3631,                  0.841,                0.96617,                0.96745,                0.97937,                0.86633,                0.52879,                0.41629,                0.82092,             0.00080883,             0.00080883,             0.00080883
                    106,                0.53814,                0.37308,                0.84486,                0.96653,                0.96719,                0.97743,                0.85802,                0.54824,                 0.4048,                0.82881,             0.00080058,             0.00080058,             0.00080058
                    107,                0.54728,                0.38064,                0.85664,                0.96686,                0.96735,                0.98041,                0.87096,                0.50811,                0.38841,                0.82026,             0.00079233,             0.00079233,             0.00079233
                    108,                0.50627,                0.34991,                0.83246,                0.96715,                0.96777,                0.97304,                0.85344,                0.54073,                0.37741,                0.82857,             0.00078407,             0.00078407,             0.00078407
                    109,                0.53966,                0.35799,                0.84733,                0.96703,                 0.9671,                0.97423,                0.85345,                0.54049,                0.34998,                0.83267,             0.00077582,             0.00077582,             0.00077582
                    110,                0.52492,                0.35638,                0.84392,                0.96693,                0.96659,                 0.9657,                0.85332,                0.51249,                0.34304,                0.82454,             0.00076757,             0.00076757,             0.00076757
                    111,                0.51159,                0.35239,                0.82375,                0.96652,                0.96662,                0.96468,                0.83488,                0.55284,                0.37108,                0.83412,             0.00075932,             0.00075932,             0.00075932
                    112,                0.52335,                0.35492,                0.82706,                0.96646,                0.96681,                0.96324,                0.83182,                0.55873,                0.38567,                 0.8371,             0.00075107,             0.00075107,             0.00075107
                    113,                0.52006,                0.35294,                0.85267,                0.96628,                0.96651,                0.96324,                0.84217,                 0.5307,                0.37899,                 0.8289,             0.00074282,             0.00074282,             0.00074282
                    114,                0.51901,                0.35765,                0.84543,                0.96594,                0.96687,                0.96324,                0.83508,                0.54006,                0.37293,                0.82854,             0.00073456,             0.00073456,             0.00073456
                    115,                0.51279,                0.34369,                0.83462,                0.96596,                0.96714,                0.96324,                0.83581,                0.53617,                0.37137,                0.83025,             0.00072631,             0.00072631,             0.00072631
                    116,                0.52555,                0.35538,                0.84059,                0.96574,                0.96649,                0.96324,                0.81824,                 0.5645,                0.38816,                0.84036,             0.00071806,             0.00071806,             0.00071806
                    117,                0.48683,                0.32964,                0.83444,                0.96497,                0.96655,                0.96324,                0.82269,                0.59859,                0.39404,                0.84617,             0.00070981,             0.00070981,             0.00070981
                    118,                0.50647,                0.34485,                0.85013,                0.96479,                0.96685,                0.96404,                0.84005,                0.57003,                0.37841,                  0.837,             0.00070156,             0.00070156,             0.00070156
                    119,                0.50808,                0.35332,                0.84484,                0.96477,                0.96779,                0.96915,                0.85178,                0.52868,                0.36081,                 0.8267,             0.00069331,             0.00069331,             0.00069331
                    120,                0.48258,                0.34719,                0.83661,                0.96532,                0.96755,                0.97106,                0.85181,                0.54595,                0.36546,                0.83121,             0.00068505,             0.00068505,             0.00068505
                    121,                0.50105,                0.33587,                0.83762,                0.96465,                 0.9668,                0.97106,                0.86361,                0.54429,                0.37147,                0.83364,              0.0006768,              0.0006768,              0.0006768
                    122,                0.53579,                0.35069,                0.85425,                0.96507,                0.96654,                0.96819,                 0.8497,                0.53044,                0.38197,                0.82521,             0.00066855,             0.00066855,             0.00066855
                    123,                0.54034,                0.34756,                0.84185,                0.96593,                0.96751,                0.96827,                0.83923,                0.54187,                0.36183,                0.82383,              0.0006603,              0.0006603,              0.0006603
                    124,                0.50739,                0.34248,                 0.8457,                0.96528,                0.96774,                0.96689,                0.84721,                0.51791,                0.35161,                0.82339,             0.00065205,             0.00065205,             0.00065205
                    125,                0.53303,                0.34428,                0.84174,                 0.9647,                0.96708,                0.96316,                0.85589,                0.50765,                0.34877,                  0.822,              0.0006438,              0.0006438,              0.0006438
                    126,                0.48402,                0.32761,                0.83097,                0.96402,                0.96512,                0.95936,                0.85128,                0.51957,                0.35502,                0.82212,             0.00063554,             0.00063554,             0.00063554
                    127,                0.49541,                0.33377,                0.82734,                0.96368,                0.96512,                0.95722,                0.84706,                0.52755,                0.35977,                0.82264,             0.00062729,             0.00062729,             0.00062729
                    128,                0.49749,                0.33349,                0.84304,                0.96654,                0.96683,                 0.9591,                0.84764,                0.51529,                0.35722,                0.82229,             0.00061904,             0.00061904,             0.00061904
                    129,                 0.5068,                0.32924,                0.83815,                0.96701,                0.96666,                0.96088,                0.84745,                0.53354,                0.37364,                0.82886,             0.00061079,             0.00061079,             0.00061079
                    130,                0.48496,                 0.3322,                0.84711,                0.96688,                0.96657,                0.96305,                0.85233,                0.52384,                0.37127,                 0.8267,             0.00060254,             0.00060254,             0.00060254
                    131,                0.50638,                0.32308,                0.83391,                0.96489,                0.96512,                0.96006,                 0.8418,                0.52422,                0.36748,                0.82789,             0.00059429,             0.00059429,             0.00059429
                    132,                0.50179,                0.33133,                0.83724,                0.96622,                0.96694,                0.96236,                0.82885,                0.56781,                0.36507,                0.83669,             0.00058603,             0.00058603,             0.00058603
                    133,                 0.4973,                0.31885,                0.84182,                0.96604,                0.96723,                0.96302,                 0.8261,                0.55642,                0.35945,                0.83301,             0.00057778,             0.00057778,             0.00057778
                    134,                 0.5008,                0.32577,                0.83974,                0.96584,                0.96736,                0.96302,                0.83031,                0.52972,                0.34881,                0.82772,             0.00056953,             0.00056953,             0.00056953
                    135,                0.47989,                0.32102,                0.83048,                0.96497,                0.96739,                0.96302,                 0.8275,                0.54865,                0.35591,                 0.8317,             0.00056128,             0.00056128,             0.00056128
                    136,                0.50427,                0.32608,                0.83443,                0.96538,                0.96732,                0.96179,                0.82668,                0.55715,                0.36946,                0.83413,             0.00055303,             0.00055303,             0.00055303
                    137,                0.48803,                0.33048,                0.82415,                0.96559,                0.96703,                0.95963,                0.84543,                0.52146,                0.35738,                0.82528,             0.00054478,             0.00054478,             0.00054478
                    138,                0.50669,                0.32894,                0.83406,                0.96542,                0.96679,                 0.9604,                0.85588,                0.49346,                0.35653,                0.82033,             0.00053652,             0.00053652,             0.00053652
                    139,                0.48672,                  0.323,                0.82244,                0.96503,                0.96666,                0.96214,                0.85865,                0.51033,                0.36624,                 0.8251,             0.00052827,             0.00052827,             0.00052827
                    140,                0.48193,                0.30951,                0.84241,                0.96591,                0.96673,                0.96257,                0.84888,                0.52745,                0.38045,                 0.8276,             0.00052002,             0.00052002,             0.00052002
                    141,                0.50206,                0.32251,                0.83865,                0.96604,                0.96725,                0.96259,                0.85801,                0.51826,                0.37525,                0.82213,             0.00051177,             0.00051177,             0.00051177
                    142,                0.48104,                0.31136,                0.84049,                0.96546,                0.96751,                0.96259,                0.86204,                0.52122,                0.37649,                0.82346,             0.00050352,             0.00050352,             0.00050352
                    143,                0.49333,                0.32812,                0.83301,                0.96399,                0.96743,                0.96202,                0.83821,                0.55799,                0.39901,                0.83139,             0.00049527,             0.00049527,             0.00049527
                    144,                0.47206,                0.32042,                0.82585,                0.96468,                 0.9672,                0.96239,                0.84561,                 0.5257,                 0.3855,                0.82566,             0.00048701,             0.00048701,             0.00048701
                    145,                0.48665,                0.31735,                0.83844,                0.96596,                0.96713,                0.96239,                0.85264,                0.50237,                0.36376,                0.82249,             0.00047876,             0.00047876,             0.00047876
                    146,                0.48277,                0.30855,                0.82997,                0.96612,                0.96715,                 0.9622,                0.84834,                0.52663,                0.36547,                 0.8292,             0.00047051,             0.00047051,             0.00047051
                    147,                0.52625,                0.32813,                0.84823,                0.96564,                0.96698,                0.96059,                0.83864,                0.55912,                0.37983,                0.83874,             0.00046226,             0.00046226,             0.00046226
                    148,                0.47042,                0.31036,                0.82843,                0.96461,                0.96512,                0.95707,                0.85757,                 0.5174,                0.39026,                0.83201,             0.00045401,             0.00045401,             0.00045401
                    149,                0.47974,                0.31007,                0.84142,                0.96463,                0.96512,                0.95582,                0.84307,                 0.5272,                0.40408,                0.83141,             0.00044576,             0.00044576,             0.00044576
                    150,                0.46892,                0.30041,                0.82697,                 0.9645,                0.96512,                0.95595,                0.84513,                0.52514,                 0.3985,                0.83036,              0.0004375,              0.0004375,              0.0004375
                    151,                0.45467,                0.30346,                0.82099,                0.96448,                0.96512,                0.95615,                0.84658,                0.52186,                0.37331,                 0.8283,             0.00042925,             0.00042925,             0.00042925
                    152,                0.45493,                0.30365,                0.82743,                0.96446,                0.96512,                0.95904,                0.84537,                0.52085,                0.36981,                0.82713,               0.000421,               0.000421,               0.000421
